frequency;signal;group;sensor;time;hash
0.4506;0.569886114639;C;1;0;C-1-0
0.4508;0.570479881442;C;1;0;C-1-0
0.45099999999999996;0.570550301938;C;1;0;C-1-0
0.4512;0.57093917174;C;1;0;C-1-0
0.45139999999999997;0.570778390471;C;1;0;C-1-0
0.4516;0.571682800011;C;1;0;C-1-0
0.4518;0.572100286631;C;1;0;C-1-0
0.45199999999999996;0.572805678228;C;1;0;C-1-0
0.4522;0.572560794254;C;1;0;C-1-0
0.45239999999999997;0.573178918682;C;1;0;C-1-0
0.4526;0.572856599477;C;1;0;C-1-0
0.4528;0.573094662812;C;1;0;C-1-0
0.45299999999999996;0.574013024546;C;1;0;C-1-0
0.4532;0.574189011594;C;1;0;C-1-0
0.45339999999999997;0.574736193817;C;1;0;C-1-0
0.4536;0.574491527271;C;1;0;C-1-0
0.4538;0.574707608442;C;1;0;C-1-0
0.45399999999999996;0.574313539682;C;1;0;C-1-0
0.4542;0.575617062122;C;1;0;C-1-0
0.45439999999999997;0.575186291422;C;1;0;C-1-0
0.4546;0.575335758382;C;1;0;C-1-0
0.4548;0.57598995607;C;1;0;C-1-0
0.45499999999999996;0.576581315715;C;1;0;C-1-0
0.4552;0.576652807485;C;1;0;C-1-0
0.45539999999999997;0.576489430109;C;1;0;C-1-0
0.4556;0.577007619628;C;1;0;C-1-0
0.4558;0.57730382699;C;1;0;C-1-0
0.45599999999999996;0.577447372377;C;1;0;C-1-0
0.4562;0.578337839717;C;1;0;C-1-0
0.4564;0.577931724658;C;1;0;C-1-0
0.4566;0.578422363283;C;1;0;C-1-0
0.4568;0.578622445642;C;1;0;C-1-0
0.45699999999999996;0.578773874033;C;1;0;C-1-0
0.4572;0.578828853374;C;1;0;C-1-0
0.4574;0.57840381555;C;1;0;C-1-0
0.4576;0.579275466539;C;1;0;C-1-0
0.4578;0.579522810796;C;1;0;C-1-0
0.45799999999999996;0.579983244348;C;1;0;C-1-0
0.4582;0.580723559136;C;1;0;C-1-0
0.4584;0.580580935769;C;1;0;C-1-0
0.45859999999999995;0.580498000058;C;1;0;C-1-0
0.4588;0.58058390641;C;1;0;C-1-0
0.45899999999999996;0.580930580959;C;1;0;C-1-0
0.4592;0.581152463986;C;1;0;C-1-0
0.4594;0.581397234312;C;1;0;C-1-0
0.45959999999999995;0.581281186117;C;1;0;C-1-0
0.4598;0.582330450724;C;1;0;C-1-0
0.45999999999999996;0.58226724246;C;1;0;C-1-0
0.42;0.556951242962;C;1;5;C-1-5
0.42019999999999996;0.559177599506;C;1;5;C-1-5
0.4204;0.559978723034;C;1;5;C-1-5
0.4206;0.560265519784;C;1;5;C-1-5
0.4208;0.560828655957;C;1;5;C-1-5
0.421;0.560905648017;C;1;5;C-1-5
0.42119999999999996;0.561277025817;C;1;5;C-1-5
0.4214;0.561612988319;C;1;5;C-1-5
0.4216;0.562387751319;C;1;5;C-1-5
0.4218;0.561565930624;C;1;5;C-1-5
0.422;0.562153534974;C;1;5;C-1-5
0.42219999999999996;0.56212461835;C;1;5;C-1-5
0.4224;0.561970732554;C;1;5;C-1-5
0.4226;0.562214253176;C;1;5;C-1-5
0.42279999999999995;0.563065404392;C;1;5;C-1-5
0.423;0.562750893487;C;1;5;C-1-5
0.42319999999999997;0.56275322039;C;1;5;C-1-5
0.4234;0.562698800862;C;1;5;C-1-5
0.4236;0.563621058678;C;1;5;C-1-5
0.42379999999999995;0.56307360884;C;1;5;C-1-5
0.424;0.56352139285;C;1;5;C-1-5
0.42419999999999997;0.564207313364;C;1;5;C-1-5
0.4244;0.563952596632;C;1;5;C-1-5
0.4246;0.564070003049;C;1;5;C-1-5
0.42479999999999996;0.564517492556;C;1;5;C-1-5
0.425;0.564634561389;C;1;5;C-1-5
0.42519999999999997;0.564635627207;C;1;5;C-1-5
0.4254;0.564753976672;C;1;5;C-1-5
0.4256;0.565146477404;C;1;5;C-1-5
0.42579999999999996;0.565369743022;C;1;5;C-1-5
0.426;0.566131690782;C;1;5;C-1-5
0.42619999999999997;0.565640257339;C;1;5;C-1-5
0.4264;0.566335291726;C;1;5;C-1-5
0.4266;0.566504015253;C;1;5;C-1-5
0.42679999999999996;0.566156644145;C;1;5;C-1-5
0.427;0.566785245267;C;1;5;C-1-5
0.42719999999999997;0.567121755331;C;1;5;C-1-5
0.4274;0.567721085076;C;1;5;C-1-5
0.4276;0.567649252786;C;1;5;C-1-5
0.42779999999999996;0.567581920193;C;1;5;C-1-5
0.428;0.568161238745;C;1;5;C-1-5
0.42819999999999997;0.567889069713;C;1;5;C-1-5
0.4284;0.568902757428;C;1;5;C-1-5
0.4286;0.568849114622;C;1;5;C-1-5
0.42879999999999996;0.568877639415;C;1;5;C-1-5
0.429;0.568579922491;C;1;5;C-1-5
0.42919999999999997;0.569000809307;C;1;5;C-1-5
0.4294;0.569213420654;C;1;5;C-1-5
0.4296;0.56962987698;C;1;5;C-1-5
0.42979999999999996;0.569983996802;C;1;5;C-1-5
0.43;0.56994979836;C;1;5;C-1-5
